Manufacturer,Series,Part_Number,Inductance_uH,DCR_typ_mOhm,DCR_max_mOhm,Isat_10pct_A,Isat_20pct_A,Isat_30pct_A,Itemp_40K,Length_max_mm,Width_max_mm,Height_max_mm,Size_Code,Volume,Rp_Ohm,Rs_spice_Ohm,ls1,lsb11,rlsb11,lsc11,rlsc11,rls11,cpb11,rcpb11,cp11,rcp11,rp1,rs1,cp1,rcp1,cpb1,rcpb1,lwira1,lwa1,rwa1,lwb1,rwb1,lwc1,rwc1,ka1,lsd11,rlsd11
Wurth Elektronik,HCF,74437529203470,47.0,,9.68,6.5,,13.0,,25.0,28.0,20.5,2920 round wire,14350.0,7147.0,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203680,68.0,,11.33,7.2,,10.6,,25.0,28.0,20.5,2920 round wire,14350.0,11503.0,0.0103,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203101,100.0,,25.19,7.0,,9.4,,25.0,28.0,20.5,2920 round wire,14350.0,21321.0,0.0229,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203151,150.0,,33.66,5.8,,7.2,,25.0,28.0,20.5,2920 round wire,14350.0,35180.0,0.0306,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203221,220.0,,40.1,4.1,,5.3,,25.0,28.0,20.5,2920 round wire,14350.0,35623.0,0.03645,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203331,330.0,,77.5,4.0,,4.3,,25.0,28.0,20.5,2920 round wire,14350.0,58482.0,0.07045,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203471,470.0,,91.8,3.2,,3.7,,25.0,28.0,20.5,2920 round wire,14350.0,78896.0,0.08345,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,ERU,B82559A2102A024,1.0,0.45,0.495,,78.5,,54.4,22.8,24.7,12.85,2513,7236.606,825.0,,9.67e-07,2.68e-08,0.0129,7.02e-08,0.0024,0.000423,1.65e-10,271.0,1.17e-11,122.0,825.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A3152A024,1.5,0.65,0.715,,79.3,,47.1,22.8,24.7,12.85,2513,7236.606,1410.0,,1.42e-06,3.96e-08,0.0251,8.39e-08,0.00537,0.000619,5.25e-11,593.0,8.23e-12,67.4,1410.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A4222A024,2.2,0.85,0.935,,67.9,,44.9,22.8,24.7,15.75,2516,8869.77,1560.0,,2.14e-06,2.09e-07,0.00765,1.02e-07,0.0469,0.000816,2.64e-11,1110.0,9.11e-12,49.6,1560.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A5332A024,3.3,1.0,1.1,,58.7,,40.3,22.8,24.7,15.75,2516,8869.77,2700.0,,3.16e-06,2.8e-07,0.00961,1.39e-07,0.0648,0.000989,2.05e-11,1460.0,8.31e-12,28.1,2700.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A6472A024,4.7,1.25,1.375,,46.4,,37.3,22.8,24.7,18.65,2519,10502.934,3180.0,,4.88e-06,2.56e-07,0.104,4.41e-07,0.0154,0.00119,8.15e-12,30.2,1.44e-11,2170.0,3180.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A7682A024,6.8,1.45,1.595,,37.9,,35.0,22.8,24.7,18.65,2519,10502.934,3900.0,,6.16e-06,5.54e-07,0.0215,3.21e-07,0.137,0.00138,1.11e-11,3030.0,8e-12,21.8,3900.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A9103A024,10.0,1.85,2.035,,31.1,,32.1,22.8,24.7,21.7,2522,12220.572,6940.0,,9.79e-06,9e-07,0.038,5.35e-07,0.245,0.00176,8.15e-12,7.02,1.46e-11,2510.0,6940.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A0153A024,15.0,2.8,3.08,,24.6,,25.5,22.8,24.7,18.3,2518,10305.828,22200000000.0,,1.41e-05,9.02e-07,0.274,8.34e-07,0.0253,0.00276,6.5e-09,4800.0,1.17e-11,9.93,22200000000.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A0203A024,20.0,3.4,3.74,,21.5,,24.0,22.8,24.7,21.3,2521,11995.308,50700000000.0,,1.86e-05,1.3e-06,0.0338,1.5e-06,0.44,0.00334,9.27e-12,14.9,5.54e-10,5690.0,50700000000.0,,,,,,,,,,,,,,,
TDK,ERU,B82559A0303A024,30.0,3.6,3.96,,15.7,,22.9,22.8,24.7,21.3,2521,11995.308,14700.0,,2.88e-05,1.61e-06,0.0476,1.75e-06,0.65,0.00363,9.96e-12,6.4,5.11e-12,7610.0,14700.0,,,,,,,,,,,,,,,
Coilcraft,AGP2923,AGP2923-332KL,3.3,2.3,2.6,95.0,104.0,108.0,26.0,27.43,16.97,23.75,2723,11055.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coilcraft,AGP2923,AGP2923-472KL,4.7,2.3,2.6,63.0,69.0,72.0,26.0,27.43,16.97,23.75,2723,11055.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coilcraft,AGP2923,AGP2923-682KL,6.8,2.3,2.6,48.0,53.0,56.0,26.0,27.43,16.97,23.75,2723,11055.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coilcraft,AGP2923,AGP2923-103KL,10.0,2.3,2.6,30.0,34.0,37.0,26.0,27.43,16.97,23.75,2723,11055.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coilcraft,AGP2923,AGP2923-153KL,15.0,2.3,2.6,20.5,23.0,24.5,26.0,27.43,16.97,23.75,2723,11055.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coilcraft,AGP2923,AGP2923-223KL,22.0,2.3,2.6,12.2,14.7,16.4,26.0,27.43,16.97,23.75,2723,11055.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coilcraft,AGP2923,AGP2923-333KL,33.0,2.3,2.6,7.5,9.2,10.3,26.0,27.43,16.97,23.75,2723,11055.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
