run,vin_nominal,P_out_W,eta,loss_W,Vin_V,Iin_A,rows
2026-09-15_151955_fans_9V,9,13.77696114421323,0.9857233485085889,0.19941440176435066,8.938745238095239,1.563691700233836,42
2026-09-15_151955_fans_9V,9,16.288945623716327,0.9862250337283577,0.22765740532667422,8.898214705882353,1.8562618394807262,34
2026-09-15_151955_fans_9V,9,18.635191198502675,0.9856241301141605,0.27176824065772465,8.85961,2.134153074256251,30
2026-09-15_151955_fans_9V,9,21.113654130410694,0.9849710800394287,0.32237165162663217,8.818366666666666,2.430944634852552,33
2026-09-15_151955_fans_9V,9,23.63773002365039,0.9846628038711462,0.36834639528530744,8.776970588235294,2.7352195955696788,17
2026-09-15_151955_fans_9V,9,25.547256332634294,0.9839890107528658,0.41579169140646854,8.743739999999999,2.9693525631684485,5
2026-09-15_141025_fans_15V,15,1.0936320482453632,0.8975166593409145,0.1247421067998622,15.042664864864866,0.08099443089435827,37
2026-09-15_141025_fans_15V,15,1.8066175198343317,0.9410801778231135,0.11297721075600009,15.039506521739131,0.12763782517525943,46
2026-09-15_141025_fans_15V,15,2.501598526958138,0.9582764159754518,0.10771282779558788,15.029267647058823,0.173621306715015,68
2026-09-15_141025_fans_15V,15,3.4432786299995772,0.9695895464838189,0.10739146599249105,15.019761290322581,0.2364030891075818,62
2026-09-15_141025_fans_15V,15,4.483118373953553,0.9732908192667677,0.12276321271712476,15.010373333333334,0.30684964168872275,45
2026-09-15_141025_fans_15V,15,5.725775427777983,0.977091698777038,0.13408697281104676,14.998570909090908,0.3907028498353367,55
2026-09-15_141025_fans_15V,15,7.232819522478868,0.9808626877452106,0.1408328313291296,14.98440487804878,0.492096841155536,41
2026-09-15_141025_fans_15V,15,8.924732369839635,0.9841031816694027,0.14397232258029113,14.967317777777778,0.6059151798899969,45
2026-09-15_141025_fans_15V,15,11.157637625451855,0.9856466930089338,0.16208294920700972,14.944716666666666,0.7574626681598752,48
2026-09-15_141025_fans_15V,15,13.704571911902468,0.9868331098192481,0.1830459353252003,14.918530952380953,0.9309226258704519,42
2026-09-15_141025_fans_15V,15,16.1731012349413,0.9877510040901444,0.20022689042307462,14.89398,1.099350471051343,35
2026-09-15_141025_fans_15V,15,18.657458325395428,0.987227975983209,0.2413585234617983,14.868575757575758,1.2710797539624163,33
2026-09-15_141025_fans_15V,15,21.16579401015068,0.9878481645090738,0.2606821520396849,14.842259259259258,1.443638534056066,27
2026-09-15_141025_fans_15V,15,23.65619479102781,0.987278394932824,0.30490549308521864,14.817257142857143,1.6171319588624775,28
2026-09-15_141025_fans_15V,15,26.271173986793084,0.98710914248854,0.3430782791452458,14.789824000000001,1.7995185281108175,25
2026-09-15_141025_fans_15V,15,28.706302306336216,0.9865368684148222,0.3924203340758119,14.765252173913042,1.970781961746851,23
2026-09-15_141025_fans_15V,15,31.361438496012443,0.9865905941671522,0.4262258629800115,14.738121739130436,2.156861342732858,23
2026-09-15_141025_fans_15V,15,34.12867847939271,0.986097009638159,0.48136360953712654,14.70916,2.352979688396337,15
2026-09-15_141025_fans_15V,15,35.82037139651899,0.9859959617446519,0.5086900568941388,14.69172,2.472775827278098,10
2026-09-15_141459_fans_20V,20,1.0938439282425976,0.8606441056009468,0.17689130922830687,20.18903243243243,0.06294173669152897,37
2026-09-15_141459_fans_20V,20,1.7920411274826848,0.9183480082311088,0.1590417954165273,20.18912608695652,0.09664089203150521,46
2026-09-15_141459_fans_20V,20,2.498423574214747,0.9420703278968133,0.15131148485668433,20.180291549295774,0.1313060320188365,71
2026-09-15_141459_fans_20V,20,3.4455828786084073,0.9583732908111011,0.14854210151711156,20.172576666666668,0.17816999688863405,60
2026-09-15_141459_fans_20V,20,4.496316767661776,0.9661126832931961,0.15692261309431288,20.16596304347826,0.23074907438689599,46
2026-09-15_141459_fans_20V,20,5.736923452723053,0.9692431953154391,0.182085453711343,20.15751886792453,0.29364142924300196,53
